RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Obi Toppin,Ind,F,26.0,66,21.9,16.5,10.6,89,0.753,271,0.694,203,0.399,0.653,0.668,10.4,3.9,1.5,0.5,0.5,0.8,14.3,11.9,15.7,7.2,127.0,115.5,182.8181818181818,176
,Caleb Martin,Mia,F,28.5,47,27.2,17.1,11.9,75,0.773,248,0.484,159,0.403,0.531,0.557,10.4,4.6,2.1,0.7,0.4,1.2,15.0,12.5,17.1,6.8,110.9,108.3,182.8181818181818,176
,Scotty Pippen Jr.,Mem,G,23.3,8,22.6,19.9,20.2,21,0.714,36,0.417,23,0.565,0.585,0.615,10.5,3.4,4.5,1.0,0.5,1.9,13.9,15.0,18.4,9.6,118.9,105.5,182.8181818181818,176
,Santi Aldama,Mem,F-C,23.2,54,25.8,18.7,11.3,75,0.613,242,0.529,262,0.34,0.519,0.53,10.5,5.6,2.2,0.7,0.8,1.2,16.1,12.7,18.3,7.8,106.1,111.3,182.8181818181818,176
,Kevin Huerter,Sac,G,25.5,62,24.9,17.4,8.5,47,0.766,218,0.573,339,0.363,0.556,0.567,10.6,3.6,2.6,0.7,0.4,0.8,14.1,13.2,16.8,7.4,116.3,111.7,182.8181818181818,176
,Mike Conley,Min,G,36.4,61,28.9,15.1,12.5,79,0.911,183,0.47,314,0.43,0.58,0.61,10.6,3.0,6.1,1.0,0.2,1.2,13.6,16.8,19.7,8.0,130.5,107.9,182.8181818181818,176
,Daniel Gafford,Dal,F-C,25.4,13,18.5,18.0,11.5,32,0.656,77,0.766,0,0.0,0.766,0.763,10.7,7.1,0.8,0.6,1.6,0.8,17.8,11.5,18.5,8.5,145.5,102.2,182.8181818181818,176
,Ayo Dosunmu,Chi,G,24.2,63,27.5,16.6,12.4,73,0.781,310,0.555,235,0.396,0.572,0.589,10.8,2.8,2.9,0.9,0.5,1.2,13.6,13.7,16.5,6.5,116.5,113.4,182.8181818181818,176
,Luguentz Dort,Okc,F,24.9,63,28.5,15.0,9.2,108,0.824,211,0.498,311,0.412,0.569,0.6,10.8,3.7,1.3,0.9,0.7,0.8,14.6,12.2,15.9,5.2,118.7,107.7,182.8181818181818,176
,Daniel Gafford,Was,C,25.4,45,26.5,13.8,13.5,119,0.706,294,0.69,0,0.0,0.69,0.707,10.9,8.0,1.5,1.0,2.2,1.0,18.9,12.4,20.4,7.7,137.1,109.1,182.8181818181818,176
,Luke Kennard,Mem,G,27.7,34,25.0,16.7,13.3,43,0.884,64,0.453,203,0.453,0.625,0.651,10.9,2.8,3.1,0.5,0.0,1.2,13.7,14.1,16.9,7.3,123.3,115.4,182.8181818181818,176
,Brandin Podziemski,Gol,G,21.0,56,27.0,16.0,13.0,71,0.62,286,0.5,188,0.378,0.526,0.537,9.7,5.8,3.9,0.8,0.2,1.3,15.5,13.6,19.4,8.9,116.4,112.0,201.0,189
,Isaac Okoro,Cle,F,23.1,56,27.1,14.2,10.0,118,0.686,222,0.577,174,0.402,0.588,0.611,9.8,3.1,2.0,0.9,0.6,0.8,12.9,11.8,14.9,5.8,123.5,108.9,201.0,189
