Unique_Rank,NAME,Label
73,Austin Reaves,Role Player
73,Malik Monk,Role Player
73,Shaedon Sharpe,Role Player
73,Jonathan Kuminga,Role Player
73,Keldon Johnson,Role Player
73,Jordan Poole,Role Player
73,Jarrett Allen,Role Player
73,Chet Holmgren,Role Player
73,Michael Porter Jr.,Role Player
73,Fred VanVleet,Role Player
73,Bogdan Bogdanovic,Role Player
73,Brandon Miller,Role Player
73,Myles Turner,Role Player
73,Tobias Harris,Role Player
73,Klay Thompson,Role Player
89,Kelly Oubre Jr.,Role Player
89,Keegan Murray,Role Player
89,John Collins,Role Player
89,Dennis Schroder,Role Player
89,Buddy Hield,Role Player
89,Marcus Smart,Role Player
89,Bennedict Mathurin,Role Player
89,Terry Rozier,Role Player
89,Donte DiVincenzo,Role Player
89,Gordon Hayward,Role Player
89,Khris Middleton,Role Player
89,Deandre Ayton,Role Player
89,Immanuel Quickley,Role Player
89,Malcolm Brogdon,Role Player
89,Evan Mobley,Role Player
89,OG Anunoby,Role Player
89,Jaden Ivey,Role Player
89,Jalen Johnson,Role Player
89,Simone Fontecchio,Role Player
89,OG Anunoby,Role Player
89,Derrick White,Role Player
89,De'Andre Hunter,Role Player
111,P.J. Washington,Role Player
111,Jonas Valanciunas,Role Player
111,Jabari Smith Jr.,Role Player
111,Grant Williams,Role Player
111,Duncan Robinson,Role Player
111,Dalano Banton,Role Player
111,Bobby Portis,Role Player
111,Saddiq Bey,Role Player
111,Marvin Bagley III,Role Player
111,Dennis Schroder,Role Player
111,Jalen Duren,Role Player
111,Deni Avdija,Role Player
111,Cameron Johnson,Role Player
111,Norman Powell,Role Player
111,Caris LeVert,Role Player
111,Aaron Gordon,Role Player
111,Trey Murphy III,Role Player
111,Rudy Gobert,Role Player
129,Brook Lopez,Role Player
129,Gary Trent Jr.,Role Player
129,Nic Claxton,Role Player
129,Aaron Nesmith,Role Player
129,Bruce Brown,Role Player
129,Max Strus,Role Player
129,Jalen Suggs,Role Player
129,Harrison Barnes,Role Player
129,Cam Whitmore,Role Player
129,Bojan Bogdanovic,Role Player
129,Corey Kispert,Role Player
129,Keyonte George,Role Player
129,Andrew Wiggins,Role Player
129,Spencer Dinwiddie,Role Player
129,Alec Burks,Role Player
129,Mark Williams,Role Player
129,Naz Reid,Role Player
129,Jaime Jaquez Jr.,Role Player
129,Scoot Henderson,Role Player
129,Dillon Brooks,Role Player
129,Jrue Holiday,Role Player
129,Grayson Allen,Role Player
129,Rui Hachimura,Role Player
152,Kelly Olynyk,Bench
152,Zach Collins,Bench
152,Herbert Jones,Bench
152,Lamar Stevens,Bench
152,Clint Capela,Bench
152,Isaiah Stewart,Bench
152,Lonnie Walker IV,Bench
152,Russell Westbrook,Bench
152,Jakob Poeltl,Bench
152,P.J. Washington,Bench
152,Moritz Wagner,Bench
152,Malik Beasley,Bench
152,Eric Gordon,Bench
152,De'Anthony Melton,Bench
152,Tyus Jones,Bench
152,Buddy Hield,Bench
152,GG Jackson,Bench
152,Cole Anthony,Bench
152,Josh Giddey,Bench
152,Ivica Zubac,Bench
152,Wendell Carter Jr.,Bench
152,Jeremy Sochan,Bench
152,Tre Mann,Bench
152,Jusuf Nurkic,Bench
176,Vasilije Micic,Bench
176,Cameron Payne,Bench
176,Obi Toppin,Bench
176,Caleb Martin,Bench
176,Scotty Pippen Jr.,Bench
176,Santi Aldama,Bench
176,Kevin Huerter,Bench
176,Mike Conley,Bench
176,Daniel Gafford,Bench
176,Ayo Dosunmu,Bench
176,Luguentz Dort,Bench
176,Daniel Gafford,Bench
176,Luke Kennard,Bench
189,Brandin Podziemski,Bench
189,Isaac Okoro,Bench
189,Talen Horton-Tucker,Bench
189,Patty Mills,Bench
189,Vince Williams Jr.,Bench
189,Nick Richards,Bench
189,Tari Eason,Bench
189,Kentavious Caldwell-Pope,Bench
189,Patrick Williams,Bench
189,Jaden McDaniels,Bench
189,Jalen Smith,Bench
189,Josh Richardson,Bench
189,Marvin Bagley III,Bench
189,Onyeka Okongwu,Bench
189,Reggie Jackson,Bench
204,Tre Jones,Bench
204,Davis Bertans,Bench
204,Alex Caruso,Bench
