Position,Predicted_Name,Actual_Name
229,Gary Harris,AJ Griffin
230,Trey Lyles,Jaden Hardy
231,Royce O'Neale,Terance Mann
232,Day'Ron Sharpe,Royce O'Neale
233,Evan Fournier,Dennis Smith Jr.
234,Landry Shamet,Shaquille Harrison
235,Jordan Goodwin,T.J. McConnell
236,Derrick Rose,Cedi Osman
237,Al Horford,Landry Shamet
238,Jaden Hardy,Ayo Dosunmu
239,Kyle Lowry,Draymond Green
240,Payton Pritchard,Kevin Knox II
241,Precious Achiuwa,Kevin Love
242,Sam Merrill,Shake Milton
243,Matt Ryan,Cam Reddish
244,Jake LaRavia,Gary Harris
245,Nickeil Alexander-Walker,Jarred Vanderbilt
246,Cody Martin,Georges Niang
247,Cedi Osman,Nick Richards
248,Marcus Morris Sr.,Aleksej Pokusevski
249,Shake Milton,Grant Williams
250,Robert Williams III,Jevon Carter
251,Isaiah Hartenstein,Robert Williams III
252,Dennis Smith Jr.,Kenrich Williams
253,Peyton Watson,Ochai Agbaji
254,Killian Hayes,Chris Duarte
255,Christian Wood,Reggie Jackson
256,Jose Alvarado,Jeff Green
257,Keon Johnson,Luke Kennard
258,Isaiah Jackson,Kevin Love
259,Christian Braun,Tre Mann
260,Nikola Jovic,Pat Connaughton
261,Ben Simmons,Joe Harris
262,Amir Coffey,Trey Lyles
263,Jeff Green,Mason Plumlee
264,Xavier Tillman,Josh Richardson
265,Mason Plumlee,Torrey Craig
266,Doug McDermott,Mitchell Robinson
267,Ochai Agbaji,Dario Saric
268,Richaun Holmes,Matisse Thybulle
269,Aaron Wiggins,Obi Toppin
270,Jae Crowder,Trendon Watford
271,Bones Hyland,Delon Wright
272,Julian Champagnie,Mo Bamba
273,Mitchell Robinson,R.J. Hampton
274,Aaron Holiday,Josh Okogie
275,Miles McBride,Jay Huff
276,Cam Reddish,Dorian Finney-Smith
277,Chris Boucher,Isaiah Jackson
278,Patrick Beverley,Jarred Vanderbilt
279,Daniel Theis,Troy Brown Jr.
280,Jonathan Isaac,Lindell Wigginton
281,James Wiseman,Kevon Looney
282,Skylar Mays,Joshua Primo
283,Cameron Payne,Daniel Theis
284,Kyle Anderson,Xavier Tillman
285,Jordan Nwora,Jae Crowder
286,Matisse Thybulle,Joe Ingles
287,Haywood Highsmith,Ty Jerome
